leaf,tape,target,non-target
1255,0,9;0;3;5;2;7;5;6,9;0;3;5;2;7;5
1256,0,9;0;3;5;8,9;0;3;5;8
1257,0,9;0;3;5;8,9;0;3;5;8
1258,0,9;0;3;5;8;6,9;0;3;5;8
1259,0,9;0;3;5;8,9;0;3;5;8
1260,0,9;0;3;5;2,9;0;3;5;2
1261,0,9;0;3;5;2;5,9;0;3;5;2
1262,0,9;0;3;5;8,9;0;3;5;8
1263,0,9;0;3;5,9;0;3;5
1264,0,9;0;3;6;7;4,9;0;3;6;7;4
1265,0,9;0;3;6;7;4;3,9;0;3;6;7;4
1266,0,9;0;3;6;7;4,9;0;3;6;7;4
1267,0,9;0;3;6;7;4,9;0;3;6;7;4
1268,0,9;0;3;6;7;7;0,9;0;3;6;7;7
1269,0,9;0;3;6;7;7,9;0;3;6;7;7
1270,0,9;0;3;6;7;7;3;3,9;0;3;6;7;7;3;3
1271,0,9;0;3;6;7;7;3;3,9;0;3;6;7;7;3;3
1272,0,9;0;3;6;2;5;9;3,9;0;3;6;2;5;9;3
1273,0,9;0;3;6;2;5;4,9;0;3;6;2;5
1274,0,9;0;3;6;2;7,9;0;3;6;2;7
1275,0,9;0;3;6;2,9;0;3;6;2
1276,0,9;0;3;6;9,9;0;3;6;9
1277,0,9;0;3;6;9;9,9;0;3;6;9
1278,0,9;0;3;6;8;9;1,9;0;3;6;8;9
1279,0,9;0;3;6;8;9,9;0;3;6;8;9
1280,0,9;7;1;9,9;7;1
1281,0,9;7;9;0,9;7;9;0
1282,0,9;7,9;7
1283,0,9;7;0;0,9;7;0;0
1284,0,9;7;6,9;7
1285,0,9;7;8,9;7;8
1286,0,9;7;9,9;7;9
1287,0,9;7;9;1,9;7;9;1
1288,0,9;7;2;2,9;7;2;2
1289,0,9;7;2;2;4,9;7;2;2
1290,0,9;7;2;6,9;7;2;6
1291,0,9;7;2,9;7;2
1292,0,9;7;9,9;7
1293,0,9;7,9;7
1294,0,9;7;1,9;7;1
1295,0,9;7;1;4,9;7;1
1296,0,9;7;8,9;7;8
1297,0,9;7;8,9;7;8
1298,0,9;7;8;5;0;0,9;7;8;5;0
1299,0,9;7;8;5,9;7;8;5
1300,0,9;7;8;3,9;7;8
1301,0,9;7;8,9;7;8
1302,0,9;7;8;0;4,9;7;8;0;4
1303,0,9;7;8;0;4,9;7;8;0;4
1304,0,9;7;8,9;7;8
1305,0,9;7,9;7
1306,0,9;7;6,9;7;6
1307,0,9;7;6,9;7;6
1308,0,9;7;8;4,9;7;8;4
1309,0,9;7;8;4;6,9;7;8;4;6
1310,0,9;7;8;5;4;3,9;7;8;5;4
1311,0,9;7;8;5,9;7;8;5
1312,0,9;1;4,9;1;4
1313,0,9;1;4;7,9;1;4
1314,0,9;1;4;4,9;1;4;4
1315,0,9;1;4;4,9;1;4;4
1316,0,9;1;4;6,9;1;4
1317,0,9;1;4;0,9;1;4;0
1318,0,9;1;4,9;1;4
1319,0,9;1;4;9,9;1;4
1320,0,9;1;2;9,9;1;2;9
1321,0,9;1;2;7,9;1;2
1322,0,9;1;4;6;1;3,9;1;4;6;1
1323,0,9;1;4;6,9;1;4;6
1324,0,9;1;5,9;1
1325,0,9;1,9;1
1326,0,9;1,9;1
1327,0,9;1;0,9;1
1328,0,9;7,9
1329,0,9,9
1330,0,9,9
1331,0,9,9
1332,0,9;6,9
1333,0,9;1;7,9;1
1334,0,9;4;5;6,9;4;5
1335,0,9;4;2,9;4
1336,0,9;9;7,9;9;7
1337,0,9;9;7;4,9;9;7
1338,0,9;9;7;3,9;9;7
1339,0,9;9;7;9;5,9;9;7;9
1340,0,9,9
1341,0,9,9
1342,0,9,9
1343,0,9;1;6;1,9;1;6
1344,0,9;4,9
1345,0,9,9
1346,0,9,9
1347,0,9,9
1348,0,9,9
1349,0,9;7,9
1350,0,9;8;6,9;8
1351,0,9;7,9;7
1352,0,9;0,9;0
1353,0,9,9
1354,0,9;3;2,9;3;2
1355,0,9;3;2;8,9;3;2
1356,0,9;6,9;6
1357,0,9;6;3,9;6;3
1358,0,9;0;6,9;0
1359,0,9;0;0,9;0
1360,0,9;2;1,9;2
1361,0,9;2,9;2
1362,0,9;2,9;2
1363,0,9;2;9,9;2
1364,0,9;2;7;9;6,9;2;7;9
1365,0,9;2;7,9;2;7
1366,0,9;2;0,9;2
1367,0,9;2,9;2
1368,0,9;2;9,9;2
1369,0,9;2;7,9;2
1370,0,9;2;5;4,9;2;5
1371,0,9;2;5;9,9;2;5
1372,0,9;2;9;5,9;2;9;5
1373,0,9;2;9;5,9;2;9;5
1374,0,9;2;9,9;2;9
1375,0,9;2;9;2,9;2;9
1376,0,9;7,9;7
1377,0,9;7,9;7
1378,0,9;7;1,9;7
1379,0,9;7;8;2,9;7;8
1380,0,9;6,9
1381,0,9;0,9
1382,0,9,9
1383,0,9,9
1384,0,9;8,9;8
1385,0,9;8;0,9;8
1386,0,9,9
1387,0,9;9;4,9;9
1388,0,9;7,9;7
1389,0,9;6,9;6
1390,0,9;8,9;8
1391,0,9;8;3;9,9;8;3
1392,0,9,9
1393,0,9;0,9;0
1394,0,9,9
1395,0,9,9
1396,0,9;4,9;4
1397,0,9,9
1398,0,9;3,9
1399,0,9;7,9
1400,0,9;3;3;3,9;3;3;3
1401,0,9;3;3;3;5;4,9;3;3;3;5
1402,0,9;3;3,9;3;3
1403,0,9;3;3;3,9;3;3
1404,0,9;3,9;3
1405,0,9;3;6,9;3
1406,0,9;3;0;6;6,9;3;0;6
1407,0,9;3;0,9;3;0
1408,0,9;2,9;2
1409,0,9;2;8,9;2
1410,0,9;2;6;3,9;2;6;3
1411,0,9;2;6,9;2;6
1412,0,9;2;7;5;0,9;2;7;5
1413,0,9;2;7,9;2;7
1414,0,9;2;0;9,9;2;0
1415,0,9;2;0;1,9;2;0
1416,0,9;2;6;7,9;2;6
1417,0,9;2;6,9;2;6
1418,0,9;2;6;4,9;2;6
1419,0,9;2;6;4,9;2;6
1420,0,9;2,9;2
1421,0,9;2;5,9;2;5
1422,0,9;2;5,9;2;5
1423,0,9;2;3;1,9;2;3
1424,0,9;2,9;2
1425,0,9;2,9;2
1426,0,9;2;4,9;2;4
1427,0,9;2,9;2
1428,0,9;2;7,9;2;7
1429,0,9;2;7;6;7,9;2;7;6
1430,0,9;2;7;7,9;2;7;7
1431,0,9;2;7;9,9;2;7
1432,0,9;2,9;2
1433,0,9;2,9;2
1434,0,9;2;4;4,9;2;4
1435,0,9;2,9;2
1436,0,9;2;7;6,9;2;7
1437,0,9;2;7;6,9;2;7;6
1438,0,9;2;2,9;2
1439,0,9;2,9;2
1440,0,9;2;2;5,9;2;2;5
1441,0,9;2;2;5;2;7,9;2;2;5;2
1442,0,9;2;2;5,9;2;2;5
1443,0,9;2;2;5,9;2;2;5
1444,0,9;2;2;5;3,9;2;2;5
1445,0,9;2;2;5;6,9;2;2;5;6
1446,0,9;2;2;5;7;5;1,9;2;2;5;7;5
1447,0,9;2;2;5;7,9;2;2;5;7
1448,0,9;2;2,9;2;2
1449,0,9;2;2;5,9;2;2;5
1450,0,9;2;2;8,9;2;2;8
1451,0,9;2;2,9;2;2
1452,0,9;2;2;2;2,9;2;2;2;2
1453,0,9;2;2;2;2;6,9;2;2;2;2
1454,0,9;2;2;2;3;0,9;2;2;2;3
1455,0,9;2;2;2;2,9;2;2;2
1456,0,9;2;2;3;3;9;4;4,9;2;2;3;3;9;4
1457,0,9;2;2;3;3;9,9;2;2;3;3;9
1458,0,9;2;2;3;3;1,9;2;2;3;3
1459,0,9;2;2;3;3;0,9;2;2;3;3;0
